title,description,image_url
Winters Tale (New Penguin Shakespeare),9,http://images.amazon.com/images/P/0140707166.01.LZZZZZZZ.jpg
Bouquiner: Autobiobibliographie,"Il suffit de lire un bouquin par mois pour avoir des manies, des
préférences.",http://images.amazon.com/images/P/2020385856.01.LZZZZZZZ.jpg
"Stop Depression Now: SAM-e, the Breakthrough Supplement That Works as Well as Prescription Drugs in Half the Time... with No Side Effects",9,http://images.amazon.com/images/P/0399145303.01.LZZZZZZZ.jpg
The Triangle Fire,"Description of the 1911 Triangle Shirtwaist Company fire in New York
City which killed 146 people.",http://images.amazon.com/images/P/0801487145.01.LZZZZZZZ.jpg
Ice Age,9,http://images.amazon.com/images/P/0445043008.01.LZZZZZZZ.jpg
Inherit the Wind (Pb),9,http://images.amazon.com/images/P/0330486586.01.LZZZZZZZ.jpg
American Radicalism (Blackwell Readers in American Social and Cultural History (Paper)),9,http://images.amazon.com/images/P/0631218998.01.LZZZZZZZ.jpg
The Luberon Garden,9,http://images.amazon.com/images/P/0091880955.01.LZZZZZZZ.jpg
"Schrodinger's Cat Trilogy : \The Universe Next Door\"", \""The Trick Top Hat\"", & \""The Homing Pigeons\""""","The sequel to the cult classic The Illuminatus! Trilogy, this is an
epic fantasy that offers a twisted look at our modern-day world--a
reality that exists in another dimension of time and space that may be
closer than we think.",http://images.amazon.com/images/P/0440500702.01.LZZZZZZZ.jpg
Quick Calculus; A Short Manual of Self Instruction (Self-teaching Guides),"A programmed text designed to introduce the student to the
fundamentals of differential and integral calculus",http://images.amazon.com/images/P/0471491128.01.LZZZZZZZ.jpg
"EVIL POWERS FEAR STREET COLLECTORS EDITION 5 : RUNAWAY THE MIND READER THE THRILL CLUB (Fear Street, Collectors Edition , No 5)","Felicia, who can move objects with her mind, Ellie, who reads minds,
and Talia, whose storytelling comes true, must learn to control their
strange powers as they try to ward off the evils of Fear Street.",http://images.amazon.com/images/P/0671023012.01.LZZZZZZZ.jpg
Le PrÃ?Âªtre dAmon,"C&#39;est dans ce vieux pays au bord de la décadence que nous entraîne
l&#39;auteur du Manuscrit secret du Nil, sur les pas de Merire, grand
prêtre d&#39;Amon et l&#39;un des hommes les plus puissants de son
pays.",http://images.amazon.com/images/P/2253139572.01.LZZZZZZZ.jpg
"Books of Magic, The: Death After Death - Book 7 (Books of Magic)",9,http://images.amazon.com/images/P/1563897407.01.LZZZZZZZ.jpg
A Rare Benedictine (Brother Cadfael Mysteries (Hardcover)),9,http://images.amazon.com/images/P/0892963972.01.LZZZZZZZ.jpg
