title,description
The Flames of Vengeance,"A captive for thirteen years, along with her son, of the insanely
jealous Juan Luis Mendoza, Lila Curran relies on the information
contained in a recent letter to force Juan Luis to set them free"
Dunkle Herzen.,"Die erfolgreiche Bildhauerin Clare kehrt getrieben von einem immer
wiederkehrenden Alptraum, in ihren Heimatort Emnitsboro, ein
verschlafenes Städtchen in Maryland zurück."
Divided in Death,"When one of his trusted employees, Reva Ewing, with whom he had been
working on a top-secret government project, becomes the prime suspect
in a double homicide, Irish billionaire Roarke enlists the assistance
of Lieutenant Eve Dallas to ..."
Boy Meets Boy,"A collection of observations, anecdotes, and essays about romance,
dating, and sex for the gay man"
The Living Pond: Water Gardens with Fish & Other Creatures,"“Warm and wonderful advice.”—Ponds Magazine. “A pond’s tranquil
surface of lily pads and lotus blossoms can conceal a surprisingly
fecund realm teeming with fish, frogs, turtles, and other aquatic
creatures—if you know what to ..."
Judgment Day (Left Behind: The Kids #14),"In the aftermath of the great earthquake, the surviving members of the
Young Trib Force struggle to hide from the forces of the Global
Community and prepare to fight the powers of evil."
A Real Scandinavian Never Asks Directions,"Art Leeís fourth book on Scandinavian-American culture is filled with
witty observations. From short stories to jokes, Lee entertains and
humors all who love to read and laugh about the ways of those quiet,
conservative lefse-lovers."
Madeline's Rescue,"A hound rescues a schoolgirl from the Seine, becomes a beloved school
pet, is chased away by the trustees, and returns with a surprise."
Fishing With John,"The author offers a moving account of her life with her husband,
aboard the &quot;MoreKelp,&quot; the salmon-fishing boat they sailed
for four years until his death"
She Drove Without Stopping: A Novel,"At 21, Jane is a frankly sexual creature, footloose and imprudent."
"A Place for Me (Holt Basic Reading, Level 7)","Series aims to provide for the full range of reading instructional
needs, learning styles, learning rates and learning abilities of
students throughout the 17 levels of texts in the series."
Stranger in My Arms,"A classic tale of sensuous deception and bold new beginnings, from the
remarkable New York Times bestselling author Lisa Kleypas &quot;Lady
Hawksworth, your husband is not dead ."
Honor to the Hills (Woods Family Saga),"A young girl courageously comes of age in the pre-Civil War Catskills
as fifteen-year-old Lily Woods confronts both love and the violence of
racial hatred."
Howling on the Playground (Scooby-Doo! Reader: Level 2 (Paperback)),"Scooby and the gang discover why there is nighttime howling on the
construction site of a new playground."
American Beauty: The Shooting Script (Newmarket Shooting Scripts),"American Beauty marks the feature film directorial debut of award-
winning theater director Sam Mendes (The Blue Room, Cabaret)."
