title,description
Molly'S Hero (Harlequin Historical),"Molly&#39;s Hero by Susan Amarillas released on May 25, 2000 is
available now for purchase."
Go Down to Silence: A Novel,9
Practical Gods (Penguin Poets),"Poems explore the divine in the ordinary and attempt to translate
pagan and biblical perspectives into secular terms."
The Zig Ziglar Difference: How the Greatest Motivational Speaker of the Century Has Changed Lives-And How He Can Change Yours,"Describes the positive effect the motivational speaker&#39;s message
has had upon the lives of eighteen successful people"
A romantic education,"Here is an excellent introduction to what was once the unknown
&quot;other Europe&quot; behind the Iron Curtain and is now the
continent&#39;s hottest new travel destination."
Ginger Pye,"When the Pye family&#39;s puppy, Ginger, disappears on Thanksgiving
Day, the children are convinced that he has been adbucted by a
stranger in a yellow hat."
The New Windmill Book of Mystery Stories of the Nineteenth Century (New Windmills),"This collection of nineteenth century mystery stories is the ideal way
to introduce Key Stage 3 and 4 students to pre-twentieth century
literature."
Charles: Prince of Wales,9
Daughter of Destiny,9
"The Territory party: The Northern Territory Country Liberal Party, 1974-1998","The Country Liberal Party has dominated Northern Territory politics
since the mid-1970s. Its influence has been obvious in all dimensions
of Territory political activity. This book is the first separate and
detailed study of the party."
La peste. (Lernmaterialien),"L&#39;histoire se déroule à Oran, en Algérie, pendant une épidémie de
peste."
"Around the Edge: A Journey Among Pirates, Guerrillas, Former Cannibals, and Turtle Fishermen Along the Miskito Coast",9
The Fortune Teller's Daughter,"After years of moving from place to place with her fortune-teller
mother, Sabine Heartwood has settled in a sleepy New England town, but
her new-found quiet life is about to be upset."
"\The Gold Club\"" the Jacklyn \""Diva\"" Bush Story: How I Went from Gold Room to Court Room""",9
The Little White Horse,9
The Adventures of Miles and Isabel,"Born on the same day in 1856 under unusual circumstances, Miles and
Isabel independently grow up, he on the stage, she despite her
mother&#39;s efforts to marry her to a rich boor, and fall in love as
Miles prepares to risk his life by testing ..."
Mail-Order Bride (Zebra Splendor Historical Romances),"Fleeing an unwanted arranged marriage, Charleston beauty Camille
Sinclair answers an ad for a mailorder bride and embarks on a perilous
journey to San Francisco in search of a new life and a new love.
Original."
A Matter of Chance,9
Bound for Glory,"The late folksinger and composer provides a personal portrait of the
first thirty years of his life, from his childhood in Oklahoma to the
early years of World War II"
A Killing Joke (Signet),9
Zanbanger,"A teenage girl encounters problems when she tries to play on the
boys&#39; high school basketball team."
Fodor's 2001 Montreal & Quebec City (Fodor's Montreal and Quebec City),"Travel smart in the &quot;Great White North&quot; with Fodor&#39;s new
coverage of outdoor activities, plus more dining and lodging choices
in all price ranges in both cities."
The Rough Guide to Paris (Rough Guide. Paris),"Accomodation - Eating and drinking - Shops and markets - Music and
night life - Festivals and events - Paris suburbsn_"
The Maze (Avon Camelot Books (Paperback)),9
Bitter Herbs: A Little Chronicle/the Vivid Memories of a Fugitive Jewish Girl in Nazi-Occupied Holland (Penguin International Writers S.),"The vivid memories of a fugitive Jewish girl in Nazi-occupied Holland
[cover]."
101 Pet Jokes,9
Mein Leben.,9
The 28 Biggest Writing Blunders (And How to Avoid Them),9
Vogue/Butterick Step-By-Step Guide To Sewing Techniques,"A sewing reference for both beginners and experts explains more than
five hundred fundamental sewing techniques, which are presented
alphabetically and fully illustrated"
Take Back Your Time: Fighting Overwork and Time Poverty in America,"Writers contribute to the conversation about the relationship between
work and life in America, revealing the secrets to restoring balance
between the two in individual lives and in the community. Original."
"The Nightmare Machine (Star Wars: Galaxy of Fear, Book 4)","Zak and Tash find out that nightmares can come true at the Nightmare
Machine, an attraction at the Hologram Fun World that scans the brain
and then showcases the brain&#39;s worst fears in holographic form.
Original."
Until Angels Close My Eyes,9
The Cheerleader (Point Thriller),"Popularity-hungry Althea makes a deadly pact with a vampire, who
promises her popularity and a spot on the school cheerleading squad if
she will supply him with the victims whose blood he craves."
"One Shining Summer (Harlequin Romance, No 3314)","One Shining Summer by Quinn Wilder released on Mar 25, 1994 is
available now for purchase."
Heavy Weather (Penguin Modern Classics),9
The True Game,"Gathers the acclaimed author&#39;s science-fiction trilogy,
encompassing King&#39;s Blood Four, Necromancer Nine, and Wizard&#39;s
Eleven, stories that helped to ignite the Dungeons and Dragons gaming
fad. Reprint."
The LAST STORY (REMEMBER ME 3) : THE LAST STORY,"The popular Remember Me trilogy comes to a spellbinding and
unforgettable conclusion as Shari Cooper, a Wanderer-turned-writer,
discovers that her latest work is really a mystical blueprint that
warns of evil creatures that despise all ..."
A Kiss of Shadows (Meredith Gentry Novels (Hardcover)),"Meredith, a runaway Elven princess posing as a human private detective
with a specialty in supernatural crime, is confronted by a dangerous
new adversary, Doyle, the chief bodyguard and assassin of
Meredith&#39;s aunt, the Queen of Air and ..."
Genie on the Loose,"An old beer can has a trainee genie, Abdul, from Baghdad. Alec finds
the can, frees the genie and traumatic experiences follow for Alec."
The Dragon and the Unicorn,"A quest for immortality that spans all history, human and demihuman,
from the hunt for the unicorn&#39;s horn to the ceaseless wars of elf
and dragon, begins and ends in Tintagel, a legendary place at the edge
of the Western Sea, where the ..."
Veronica at the Wells (A Piccolo Book),"Veronica Weston finds studying ballet at Salder&#39;s Wells exciting,
frightening, and a lot of hard work. It pays off for her in a role at
Covent Garden at the age of 15."
